samID,ItemID,DataID,N_RivID,N_SiteID,Continent,Country,Primer,Year,Month,SR,ID,SeqID,nASVs_B,nASVs_C,nASVs_E,nASVs_G,nSpes_B,nSpes_C,nSpes_E,nSpes_G
I001_S024,I001,D001,NR001,S024,North_America,Canada,PS1,2013,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S025,I001,D001,NR001,S025,North_America,Canada,PS1,2013,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S026,I001,D001,NR001,S026,North_America,Canada,PS1,2013,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S027,I001,D001,NR001,S027,North_America,Canada,PS1,2013,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S028,I001,D001,NR001,S028,North_America,Canada,PS1,2013,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S029,I001,D001,NR001,S029,North_America,Canada,PS1,2013,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S030,I001,D001,NR001,S030,North_America,Canada,PS1,2013,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S031,I001,D001,NR001,S031,North_America,Canada,PS1,2013,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S032,I001,D001,NR001,S032,North_America,Canada,PS1,2013,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S033,I001,D001,NR001,S033,North_America,Canada,PS1,2013,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S034,I001,D001,NR001,S034,North_America,Canada,PS1,2013,10,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S035,I001,D001,NR001,S035,North_America,Canada,PS1,2013,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S036,I001,D001,NR001,S036,North_America,Canada,PS1,2013,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S037,I001,D001,NR001,S037,North_America,Canada,PS1,2013,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S038,I001,D001,NR001,S038,North_America,Canada,PS1,2013,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S039,I001,D001,NR001,S039,North_America,Canada,PS1,2013,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S040,I001,D001,NR001,S040,North_America,Canada,PS1,2013,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S041,I001,D001,NR001,S041,North_America,Canada,PS1,2013,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S042,I001,D001,NR001,S042,North_America,Canada,PS1,2013,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I001_S043,I001,D001,NR001,S043,North_America,Canada,PS1,2013,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I002_S001,I002,D001,NR002,S001,North_America,Canada,PS1,2013,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I002_S002,I002,D001,NR002,S002,North_America,Canada,PS1,2013,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I002_S003,I002,D001,NR002,S003,North_America,Canada,PS1,2013,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I002_S004,I002,D001,NR002,S004,North_America,Canada,PS1,2013,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I002_S005,I002,D001,NR002,S005,North_America,Canada,PS1,2013,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I002_S006,I002,D001,NR002,S006,North_America,Canada,PS1,2013,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I002_S007,I002,D001,NR002,S007,North_America,Canada,PS1,2013,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I002_S008,I002,D001,NR002,S008,North_America,Canada,PS1,2013,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I002_S009,I002,D001,NR002,S009,North_America,Canada,PS1,2013,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I002_S010,I002,D001,NR002,S010,North_America,Canada,PS1,2013,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I002_S011,I002,D001,NR002,S011,North_America,Canada,PS1,2013,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I002_S012,I002,D001,NR002,S012,North_America,Canada,PS1,2013,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I002_S013,I002,D001,NR002,S013,North_America,Canada,PS1,2013,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S001,I003,D001,NR003,S001,North_America,Canada,PS1,2013,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S002,I003,D001,NR003,S002,North_America,Canada,PS1,2013,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S003,I003,D001,NR003,S003,North_America,Canada,PS1,2013,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S004,I003,D001,NR003,S004,North_America,Canada,PS1,2013,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S005,I003,D001,NR003,S005,North_America,Canada,PS1,2013,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S006,I003,D001,NR003,S006,North_America,Canada,PS1,2013,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S007,I003,D001,NR003,S007,North_America,Canada,PS1,2013,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S008,I003,D001,NR003,S008,North_America,Canada,PS1,2013,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S009,I003,D001,NR003,S009,North_America,Canada,PS1,2013,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S010,I003,D001,NR003,S010,North_America,Canada,PS1,2013,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S011,I003,D001,NR003,S011,North_America,Canada,PS1,2013,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S012,I003,D001,NR003,S012,North_America,Canada,PS1,2013,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S013,I003,D001,NR003,S013,North_America,Canada,PS1,2013,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S014,I003,D001,NR003,S014,North_America,Canada,PS1,2013,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S015,I003,D001,NR003,S015,North_America,Canada,PS1,2013,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S016,I003,D001,NR003,S016,North_America,Canada,PS1,2013,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S017,I003,D001,NR003,S017,North_America,Canada,PS1,2013,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S018,I003,D001,NR003,S018,North_America,Canada,PS1,2013,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S019,I003,D001,NR003,S019,North_America,Canada,PS1,2013,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S020,I003,D001,NR003,S020,North_America,Canada,PS1,2013,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S021,I003,D001,NR003,S021,North_America,Canada,PS1,2013,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S022,I003,D001,NR003,S022,North_America,Canada,PS1,2013,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S023,I003,D001,NR003,S023,North_America,Canada,PS1,2013,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S024,I003,D001,NR003,S024,North_America,Canada,PS1,2013,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S025,I003,D001,NR003,S025,North_America,Canada,PS1,2013,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S026,I003,D001,NR003,S026,North_America,Canada,PS1,2013,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S027,I003,D001,NR003,S027,North_America,Canada,PS1,2013,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S028,I003,D001,NR003,S028,North_America,Canada,PS1,2013,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S029,I003,D001,NR003,S029,North_America,Canada,PS1,2013,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I003_S030,I003,D001,NR003,S030,North_America,Canada,PS1,2013,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I004_S001,I004,D002,NR058,S001,Asia,Sourth Korea,MiFish,2018,6,NA,D002_RS001,RS001,45,45,49,91,22,22,26,40
I004_S002,I004,D002,NR058,S002,Asia,Sourth Korea,MiFish,2018,6,NA,D002_RS001,RS001,35,35,39,63,13,13,17,28
I004_S003,I004,D002,NR058,S003,Asia,Sourth Korea,MiFish,2018,6,NA,D002_RS001,RS001,55,55,58,83,18,18,21,33
I004_S004,I004,D002,NR058,S004,Asia,Sourth Korea,MiFish,2018,6,NA,D002_RS001,RS001,30,30,52,93,11,11,16,26
I005_S001,I005,D002,NR059,S001,Asia,Sourth Korea,MiFish,2018,6,NA,D002_RS001,RS001,35,35,43,85,14,14,21,40
I005_S002,I005,D002,NR059,S002,Asia,Sourth Korea,MiFish,2018,6,NA,D002_RS001,RS001,10,10,14,27,8,8,12,19
I005_S003,I005,D002,NR059,S003,Asia,Sourth Korea,MiFish,2018,6,NA,D002_RS001,RS001,18,18,28,55,12,12,17,27
I005_S004,I005,D002,NR059,S004,Asia,Sourth Korea,MiFish,2018,6,NA,D002_RS001,RS001,35,36,43,58,16,17,22,31
I006_S001,I006,D002,NR060,S001,Asia,Sourth Korea,MiFish,2018,6,NA,D002_RS001,RS001,53,53,55,83,24,24,26,39
I006_S002,I006,D002,NR060,S002,Asia,Sourth Korea,MiFish,2018,6,NA,D002_RS001,RS001,64,64,68,116,31,31,35,57
I006_S003,I006,D002,NR060,S003,Asia,Sourth Korea,MiFish,2018,6,NA,D002_RS001,RS001,35,35,50,93,18,18,23,41
I006_S004,I006,D002,NR060,S004,Asia,Sourth Korea,MiFish,2018,6,NA,D002_RS001,RS001,32,32,40,98,18,18,22,33
I007_S001,I007,D002,NR061,S001,Asia,Sourth Korea,MiFish,2018,6,NA,D002_RS001,RS001,43,43,43,73,19,19,19,33
I007_S002,I007,D002,NR061,S002,Asia,Sourth Korea,MiFish,2018,6,NA,D002_RS001,RS001,42,42,44,63,16,16,18,27
I007_S003,I007,D002,NR061,S003,Asia,Sourth Korea,MiFish,2018,6,NA,D002_RS001,RS001,52,52,72,137,19,19,25,38
I007_S004,I007,D002,NR061,S004,Asia,Sourth Korea,MiFish,2018,6,NA,D002_RS001,RS001,31,31,41,58,14,14,18,29
I008_S001,I008,D003,NR004,S001,North_America,US,Cytb02,2013,7,NA,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S002,I008,D003,NR004,S002,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,14,14,14,14,1,1,1,1
I008_S003,I008,D003,NR004,S003,North_America,US,Cytb02,2013,7,2,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S004,I008,D003,NR004,S004,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S005,I008,D003,NR004,S005,North_America,US,Cytb02,2013,7,2,D003_RS048,RS048,14,14,14,14,1,1,1,1
I008_S006,I008,D003,NR004,S006,North_America,US,Cytb02,2013,7,2,D003_RS048,RS048,2,2,2,2,1,1,1,1
I008_S007,I008,D003,NR004,S007,North_America,US,Cytb02,2013,7,3,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S008,I008,D003,NR004,S008,North_America,US,Cytb02,2013,7,1,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S009,I008,D003,NR004,S009,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S010,I008,D003,NR004,S010,North_America,US,Cytb02,2013,7,2,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S011,I008,D003,NR004,S011,North_America,US,Cytb02,2013,7,2,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S012,I008,D003,NR004,S012,North_America,US,Cytb02,2013,7,3,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S013,I008,D003,NR004,S013,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S014,I008,D003,NR004,S014,North_America,US,Cytb02,2013,7,1,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S015,I008,D003,NR004,S015,North_America,US,Cytb02,2013,7,2,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S016,I008,D003,NR004,S016,North_America,US,Cytb02,2013,7,2,D003_RS048,RS048,13,13,13,13,1,1,1,1
I008_S017,I008,D003,NR004,S017,North_America,US,Cytb02,2013,7,3,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S018,I008,D003,NR004,S018,North_America,US,Cytb02,2013,7,5,D003_RS048,RS048,30,30,30,30,1,1,1,1
I008_S019,I008,D003,NR004,S019,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S020,I008,D003,NR004,S020,North_America,US,Cytb02,2013,7,4,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S021,I008,D003,NR004,S021,North_America,US,Cytb02,2013,7,3,D003_RS048,RS048,22,22,22,22,1,1,1,1
I008_S022,I008,D003,NR004,S022,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S023,I008,D003,NR004,S023,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S024,I008,D003,NR004,S024,North_America,US,Cytb02,2013,7,1,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S025,I008,D003,NR004,S025,North_America,US,Cytb02,2013,7,1,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S026,I008,D003,NR004,S026,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S027,I008,D003,NR004,S027,North_America,US,Cytb02,2013,7,2,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S028,I008,D003,NR004,S028,North_America,US,Cytb02,2013,7,2,D003_RS048,RS048,1,1,1,1,1,1,1,1
I008_S029,I008,D003,NR004,S029,North_America,US,Cytb02,2013,7,4,D003_RS048,RS048,16,16,16,16,1,1,1,1
I008_S030,I008,D003,NR004,S030,North_America,US,Cytb02,2013,7,2,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S031,I008,D003,NR004,S031,North_America,US,Cytb02,2013,7,1,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S032,I008,D003,NR004,S032,North_America,US,Cytb02,2013,7,1,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S033,I008,D003,NR004,S033,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S034,I008,D003,NR004,S034,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S035,I008,D003,NR004,S035,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S036,I008,D003,NR004,S036,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S037,I008,D003,NR004,S037,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S038,I008,D003,NR004,S038,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S039,I008,D003,NR004,S039,North_America,US,Cytb02,2013,7,2,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S040,I008,D003,NR004,S040,North_America,US,Cytb02,2013,7,3,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S041,I008,D003,NR004,S041,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S042,I008,D003,NR004,S042,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S043,I008,D003,NR004,S043,North_America,US,Cytb02,2013,7,3,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S044,I008,D003,NR004,S044,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S045,I008,D003,NR004,S045,North_America,US,Cytb02,2013,7,1,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S046,I008,D003,NR004,S046,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S047,I008,D003,NR004,S047,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S048,I008,D003,NR004,S048,North_America,US,Cytb02,2013,7,1,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S049,I008,D003,NR004,S049,North_America,US,Cytb02,2013,7,2,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S050,I008,D003,NR004,S050,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S051,I008,D003,NR004,S051,North_America,US,Cytb02,2013,7,2,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S052,I008,D003,NR004,S052,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,1,1,1,1,1,1,1,1
I008_S053,I008,D003,NR004,S053,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,1,1,1,1,1,1,1,1
I008_S054,I008,D003,NR004,S054,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,12,12,12,12,2,2,2,2
I008_S055,I008,D003,NR004,S055,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S056,I008,D003,NR004,S056,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S057,I008,D003,NR004,S057,North_America,US,Cytb02,2013,7,1,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S058,I008,D003,NR004,S058,North_America,US,Cytb02,2013,7,1,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S059,I008,D003,NR004,S059,North_America,US,Cytb02,2013,7,2,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S060,I008,D003,NR004,S060,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S061,I008,D003,NR004,S061,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S062,I008,D003,NR004,S062,North_America,US,Cytb02,2013,7,0,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S063,I008,D003,NR004,S063,North_America,US,Cytb02,2013,7,1,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S064,I008,D003,NR004,S064,North_America,US,Cytb02,2013,7,1,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S065,I008,D003,NR004,S065,North_America,US,Cytb02,2013,7,1,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S066,I008,D003,NR004,S066,North_America,US,Cytb02,2013,7,3,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S067,I008,D003,NR004,S067,North_America,US,Cytb02,2013,7,1,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S068,I008,D003,NR004,S068,North_America,US,Cytb02,2013,7,2,D003_RS048,RS048,18,18,18,18,1,1,1,1
I008_S069,I008,D003,NR004,S069,North_America,US,Cytb02,2013,7,2,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S070,I008,D003,NR004,S070,North_America,US,Cytb02,2013,7,3,D003_RS048,RS048,0,0,0,0,0,0,0,0
I008_S071,I008,D003,NR004,S071,North_America,US,Cytb02,2013,7,1,D003_RS048,RS048,0,0,0,0,0,0,0,0
